year,country,PopulationGrowth,ForestLand,CoalConsumption,CarbonEmissions,OilConsumption
1990,United Kingdom,0.273,3.12,1.14,10.6,1.44
1991,United Kingdom,0.347,3.14,1.06,10.3,1.46
1992,United Kingdom,0.316,3.17,0.925,10.1,1.46
1993,United Kingdom,0.333,3.2,0.861,9.97,1.44
1994,United Kingdom,0.341,3.22,0.819,9.79,1.42
1995,United Kingdom,0.331,3.24,0.763,10.1,1.45
1996,United Kingdom,0.333,3.26,0.679,9.65,1.4
1997,United Kingdom,0.368,3.29,0.659,9.71,1.39
1998,United Kingdom,0.409,3.31,0.584,9.55,1.36
1999,United Kingdom,0.434,3.33,0.623,9.63,1.34
2000,United Kingdom,0.512,3.35,0.658,9.75,1.33
2001,United Kingdom,0.798,3.37,0.602,9.45,1.32
2002,United Kingdom,0.834,3.38,0.64,9.6,1.32
2003,United Kingdom,0.934,3.4,0.612,9.58,1.35
2004,United Kingdom,1.05,3.41,0.621,9.46,1.39
2005,United Kingdom,1.09,3.43,0.673,9.33,1.37
2006,United Kingdom,1.13,3.45,0.625,9.1,1.31
2007,United Kingdom,1.13,3.46,0.573,8.77,1.27
2008,United Kingdom,1.1,3.47,0.474,7.87,1.19
2009,United Kingdom,1.12,3.48,0.487,8.07,1.17
2010,United Kingdom,1.11,3.5,0.491,7.34,1.14
2011,United Kingdom,1.02,3.51,0.604,7.56,1.1
2012,United Kingdom,0.993,3.53,0.569,7.36,1.07
2013,United Kingdom,1.06,3.54,0.455,6.71,1.06
2014,United Kingdom,1.11,3.54,0.35,6.42,1.08
2015,United Kingdom,1.07,3.55,0.167,6.04,1.11
2016,United Kingdom,0.989,3.55,0.136,5.81,1.11
2017,United Kingdom,0.912,3.56,0.113,5.65,1.08
1990,Egypt,1.97,0.0454,0.0136,1.35,0.407
1991,Egypt,1.83,0.0469,0.0136,1.36,0.387
1992,Egypt,1.74,0.0484,0.0161,1.54,0.361
1993,Egypt,1.7,0.05,0.017,1.39,0.351
1994,Egypt,1.7,0.0515,0.0111,1.52,0.373
1995,Egypt,1.7,0.053,0.015,1.47,0.387
1996,Egypt,1.96,0.0546,0.0124,1.66,0.4
1997,Egypt,2.1,0.0561,0.012,1.84,0.413
1998,Egypt,2.08,0.0577,0.0107,1.85,0.412
1999,Egypt,2.04,0.0592,0.0126,2.04,0.395
2000,Egypt,2.01,0.0599,0.0109,1.77,0.372
2001,Egypt,1.99,0.0605,0.0115,1.76,0.353
2002,Egypt,1.97,0.0611,0.0117,2.01,0.356
2003,Egypt,1.94,0.0618,0.0117,2.01,0.362
2004,Egypt,1.91,0.0624,0.0113,2.19,0.395
2005,Egypt,1.88,0.0631,0.0111,2.29,0.373
2006,Egypt,1.76,0.0637,0.00989,2.38,0.391
2007,Egypt,1.73,0.0644,0.00874,2.45,0.41
2008,Egypt,1.82,0.065,0.00763,2.5,0.424
2009,Egypt,1.94,0.0656,0.00561,2.4,0.439
2010,Egypt,2.07,0.0622,0.00521,2.53,0.399
2011,Egypt,2.09,0.0588,0.00452,2.49,0.409
2012,Egypt,2.14,0.0553,0.00436,2.37,0.404
2013,Egypt,2.13,0.0519,0.0043,2.47,0.424
2014,Egypt,2.08,0.0484,0.00888,2.37,0.431
2015,Egypt,2.02,0.0477,0.0132,2.47,0.433
2016,Egypt,2.03,0.047,0.0125,2.46,0.392
2017,Egypt,2.03,0.0464,0.0219,2.43,0.359
1990,Algeria,3.96,1.66,0.0258,2.99,0.344
