country,1997,1998,1999,2000,2001,2002
Aruba,,,,,,1.44
Afghanistan,,,,,,
Angola,,,,,,
Albania,,,,,,
Andorra,,,,,1.64,4.92
United Arab Emirates,,0.0124,0.063,0.254,0.478,0.817
Argentina,,,,0.252,0.393,0.68
Armenia,,,,0.0002,0.00026,0.00033
Antigua and Barbuda,,,,,,
Australia,,,,0.64,1.33,2.63
Austria,,0.632,2.36,3.96,5.54,7.35
Azerbaijan,,,,,0.0121,
Burundi,,,,,,
Belgium,0.107,0.224,1.4,4.46,7.87,11.9
Benin,,,,,0.00029,0.00028
Burkina Faso,,,,,0.00041,0.00115
Bangladesh,,,,,,
Bulgaria,,,,,,
Bahrain,,,,0.169,0.677,1.25
Bahamas,,,,1.37,2.45,3.49
Bosnia and Herzegovina,,,0.00072,0.00181,0.00567,0.0399
Belarus,,,,,0.00021,0.00127
Belize,,,,,,0.349
Bermuda,,,,,,
Bolivia,,,,,0.0381,0.0644
Brazil,0.00059,0.00406,0.0572,0.187,0.407,0.531
Barbados,,,,,,9.96
Brunei,,,,0.558,0.795,1.09
Bhutan,,,,,,
Botswana,,,,,,
Central African Republic,,,,,,
Canada,0.466,1.92,4.61,9.18,11.3,14.3
Switzerland,,,0.79,1.95,6.3,10.8
Chile,,,0.0501,0.43,1.2,2.22
China,,,0.00176,0.0259,0.252,0.853
Cote d'Ivoire,,,,,,0.00235
